V1	V2	V3	V4	V5	V6	V7	V8	feature_tmp_anno_homer_anchor1	feature_tmp_anno_homer_anchor2	feature_tmp_ATAC-seq-WT-hct116.peaks.txt_anchor1	feature_tmp_ATAC-seq-WT-hct116.peaks.txt_anchor2	feature_tmp_H3k4me3StdHotspotsRep1.broadPeak_anchor1	feature_tmp_H3k4me3StdHotspotsRep1.broadPeak_anchor2	feature_tmp_HCT-H3k36me3_anchor1	feature_tmp_HCT-H3k36me3_anchor2	feature_tmp_HCT-H3k4me2_anchor1	feature_tmp_HCT-H3k4me2_anchor2	feature_tmp_HCT-H3k79me2_anchor1	feature_tmp_HCT-H3k79me2_anchor2	feature_tmp_HCT-H3k9ac_anchor1	feature_tmp_HCT-H3k9ac_anchor2	feature_tmp_HCT-H3k9me3_anchor1	feature_tmp_HCT-H3k9me3_anchor2	feature_tmp_Hct116CtcfStdPkRep1.narrowPeak_anchor1	feature_tmp_Hct116CtcfStdPkRep1.narrowPeak_anchor2	feature_tmp_Hct116Elf1V0422111PkRep2.broadPeak_anchor1	feature_tmp_Hct116Elf1V0422111PkRep2.broadPeak_anchor2	feature_tmp_Hct116H3k27acUcdPk.narrowPeak_anchor1	feature_tmp_Hct116H3k27acUcdPk.narrowPeak_anchor2	feature_tmp_Hct116H3k4me1UcdPk.narrowPeak_anchor1	feature_tmp_Hct116H3k4me1UcdPk.narrowPeak_anchor2	feature_tmp_Hct116JundV0422111PkRep2.broadPeak_anchor1	feature_tmp_Hct116JundV0422111PkRep2.broadPeak_anchor2	feature_tmp_Hct116MaxV0422111PkRep2.broadPeak_anchor1	feature_tmp_Hct116MaxV0422111PkRep2.broadPeak_anchor2	feature_tmp_Hct116Yy1sc281V0416101PkRep2.broadPeak_anchor1	feature_tmp_Hct116Yy1sc281V0416101PkRep2.broadPeak_anchor2	feature_tmp_MethylRrbsHct116StanfordSitesRep2.bedRrbs_anchor1	feature_tmp_MethylRrbsHct116StanfordSitesRep2.bedRrbs_anchor2	feature_tmp_RNA-seq-peaks.txt_anchor1	feature_tmp_RNA-seq-peaks.txt_anchor2
chr12	6308619	6311955	chr12	6322453	6327027	loop_name_54	3	805	15258	12.5	0	128.850998	9.94764	3.42719	2.96572	61.47385	28.47583	6.66566	22.69974	68.36822	34.66404	0	0	15	0	0	0	5.78549	5.6671	5.28498	10.00558	0	0	0	0	0	0	290244428	0	252	0
chr10	69852355	69859347	chr10	70881924	70885929	loop_name_55	1	10023	18	0	0	12.16874	139.854004	0	0	24.20392	33.02167	0	6.52346	28.90868	30.86819	0	0	0	14	0	0	11.01907	5.87259	10.91801	0	1052.84	0	0	0	1382.39	519.33	0	1559445432	0	0
chr7	130632249	130633623	chr7	131205377	131208217	loop_name_56	1	34713	34579	0	0	0	2.84981	3.40068	0	3.0685	10.35208	14.17312	2.03357	3.41589	7.06125	0	0	0	0	0	0	4.09135	6.13702	3.08129	7.91577	0	0	0	0	0	0	0	0	0	0
chr19	41868782	41871372	chr19	42771199	42777092	loop_name_57	1	1	1457	0	0	127.331001	91.300003	0	0	24.97049	29.0719	5.7908	13.11789	28.15928	43.65826	0	0	0	0	0	0	3.43898	6.47481	0	6.85908	0	0	0	0	3100	590.61	125611209	2395291141	68.5	0
chr1	43388168	43392232	chr1	43470630	43476488	loop_name_58	2	34520	48712	0	0	62.693298	9.94764	9.26505	0	19.7565	13.0966	2.14719	0	23.70317	35.41278	0	0	65	0	0	0	8.10476	12.86863	3.08294	7.65912	0	0	0	0	1244.78	121.34	1995953801	1130305106	0	0
chr19	2086741	2088704	chr19	2094499	2097297	loop_name_59	3	8546	371	0	16.5	4.07706	141.9004	0	0	7.67547	50.31199	2.98069	14.94645	8.32417	42.72401	0	0	0	46	0	0	2.38579	10.27954	10.09766	4.90966	0	0	168.94	314.3	0	829.78	2088280	136258979	0	0
chr22	19417513	19421520	chr22	19433930	19436423	loop_name_60	3	92	578	0	0	123.847	119.508003	3.4647	0	66.13794	30.17009	28.93484	6.28431	89.65038	33.11727	0	0	15	0	0	0	9.39833	4.33448	8.63955	3.91448	0	0	498.73	0	1658.09	1064.49	2582767659	1146673397	0	0
chr6	27123974	27126349	chr6	27515390	27517837	loop_name_61	2	9757	75717	0	0	35.67121	28.412709	0	0	15.66144	22.68243	0	0	10.4386	8.80185	0	0	38	0	0	0	4.78435	5.34978	0	3.6079	0	0	123.64	0	121.18	417.3	0	165099441	30	0
chr20	52257825	52260884	chr20	52388831	52392715	loop_name_62	1	34462	101475	0	0	8.79376	7.95913	0	0	17.02082	13.47835	0	0	8.89988	20.04432	0	0	0	0	0	0	5.77374	9.62913	4.85061	3.44567	225.16	235.65	0	0	0	0	52258957	0	0	0
chr11	64882071	64885862	chr11	64887932	64891422	loop_name_63	10	1243	5	0	0	107.394997	134.613261	8.82373	11.98012	33.65337	32.3478	15.9048	36.58382	60.63972	41.91225	0	0	67	6	0	0	9.00025	5.92395	0	0	0	0	117.35	0	633.7	2206.46	8435019024	454227561	193	385
chr11	65081904	65085629	chr11	65291631	65294431	loop_name_64	1	1478	483	0	0	111.819	102.032623	2.98652	4.14964	21.52584	47.46158	6.30406	12.41953	27.61015	47.35523	0	0	98	0	0	0	12.40104	6.97665	8.95574	0	0	0	102.71	0	396.56	0	6182846018	4374607968	0	299
chr15	67367090	67370635	chr15	67545538	67547725	loop_name_65	2	10668	442	0	0	4.0394	148.546005	12.3814	0	10.38094	16.29809	14.82515	11.02949	9.00068	59.19904	0	0	0	0	0	267.25	3.44566	6.48201	4.64263	0	134	0	145.09	129.52	0	1230.39	0	1486036337	0	123
chr1	94126832	94131681	chr1	94244258	94247197	loop_name_66	3	17669	4789	0	0	8.61404	9.23785	12.10911	2.3369	13.26234	15.73392	17.02813	0	17.09145	14.6418	0	0	0	10	0	0	8.23574	6.02088	4.31116	3.25779	243.91	163.07	0	0	0	478.63	188261162	0	0	0
chr12	12986554	12996089	chr12	13720978	13729067	loop_name_67	1	25042	195344	0	0	14.2763	0	16.38196	0	25.73671	13.52916	18.95946	0	22.30042	16.8669	0	0	34	13	0	101.56	11.05902	10.54974	30.47134	22.79293	489.24	1113.48	237.03	151.3	432.99	329.85	0	0	30.5	0
chr1	154191466	154195539	chr1	154297107	154300601	loop_name_68	1	178	818	0	0	147.964005	169.754105	7.16072	0	39.94569	35.1688	36.74276	0	47.23455	22.41397	2.21921	0	0	165	155.91	0	15.81129	7.44814	0	5.99671	0	0	339.23	0	3315.72	1937.54	4317417323	6634821682	672	0
chr10	91810157	91812483	chr10	91845075	91853057	loop_name_69	1	94190	131936	0	0	0	0	0	0	2.74789	22.71165	0	0	0	7.81768	0	0	0	0	0	0	6.10883	12.97579	4.18826	18.13478	0	904.01	0	0	0	140.26	0	91846286	0	0
chr16	85586267	85589464	chr16	85643363	85650231	loop_name_70	7	57163	61	0	16	103.688004	114.751999	0	0	28.57887	36.76198	0	12.83427	19.06879	32.05178	0	0	16	360	0	0	5.85073	18.2905	12.48734	6.20763	0	0	114.84	0	532.11	1657.59	7702888056	15673274003	0	0
chr17	73851128	73853375	chr17	74022125	74027095	loop_name_71	2	265	1077	0	0	118.841003	122.465839	0	0	32.02005	48.54774	6.36331	6.70655	34.09086	32.20797	0	0	34	33	0	0	7.61729	12.29062	0	8.53624	0	0	0	263.72	880.71	509.12	2658672210	0	55.5	79
chr9	140194762	140198082	chr9	140329497	140331675	loop_name_72	1	281	5315	0	0	60.19431	0	0	0	48.14102	15.01171	11.24982	0	32.84419	7.51855	0	0	60	0	0	0	9.25984	8.18942	0	6.99826	0	0	278.5	0	511.76	0	34488401524	2806621699	0	0
chr2	46164804	46167973	chr2	46523914	46526430	loop_name_73	1	287346	631	0	0	11.3672	103.170998	2.80228	0	22.84569	40.50701	1.88681	9.7415	8.89219	22.76337	0	0	0	13	0	0	3.94061	8.97601	9.63845	0	268.42	0	150.01	0	128.3	454.52	0	3908102186	0	31.5
chr7	99612170	99614908	chr7	100200420	100203527	loop_name_74	1	364	313	0	0	153.832001	82.241699	0	0	25.94963	26.83551	16.96677	0	60.54411	15.5328	0	0	0	19	932.73	0	3.26333	13.25327	0	0	0	0	0	0	337.98	108.9	2888790368	3206495496	0	0
chr4	142140602	142143329	chr4	143765700	143769257	loop_name_75	1	75	209	0	0	143.270004	107.898003	0	0	21.01424	32.0662	6.81019	0	37.01084	6.14506	0	0	15	52	0	0	2.95836	4.74603	0	0	0	0	210.06	0	235.54	178.58	710710820	5606928706	240	0
chr2	73962409	73965775	chr2	74006050	74008047	loop_name_76	2	296	235	0	0	151.623993	119.500999	0	0	24.27372	26.19179	12.38797	9.04625	19.81198	43.59758	0	0	0	94	858.39	0	4.42362	3.30775	0	0	0	0	0	0	839.08	296.71	2736687992	1480144845	0	177
chr1	149869628	149872446	chr1	149898357	149901559	loop_name_77	3	98	186	0	0	98.679001	138.319	2.37524	6.35512	29.42756	27.66274	5.80628	25.71412	28.01003	33.5298	0	0	0	0	0	190.86	4.56963	7.5381	0	0	0	0	103.37	0	569.62	2763.49	2397944742	1349096632	226	209
chr19	4811187	4814266	chr19	5677786	5682484	loop_name_78	1	19027	641	0	11.5	15.01063	129.882004	0	0	36.30091	32.77953	0	9.6576	21.30455	48.42766	0	0	101	0	0	121.26	6.29004	2.48018	3.57865	0	408.35	0	498.44	0	985.46	1527.47	24065757	289705687	0	300
chr22	35775613	35778407	chr22	36447698	36449978	loop_name_79	1	50	24253	0	0	113.508003	4.26938	0	0	35.51918	12.58394	5.25214	0	26.22692	11.28009	0	0	0	0	0	0	2.05286	4.61184	2.58108	3.07424	0	183.72	113.69	0	230.32	527.52	1001757803	0	0	0
chrX	45599323	45643911	chrX	46174542	46194781	loop_name_80	17	15087	2447	0	0	79.029682	26.28331	106.3913	3.48428	90.68377	67.39965	57.3913	35.93313	91.25504	64.74876	2.28793	0	36	0	0	0	80.33477	63.93971	133.81697	86.48049	1144.4	2052.58	638.42	439.94	711.37	485.79	182472183	0	573	47
