loop	type
chr1 156558868 156564647 chr1 157333906 157341149 . 1	pro-pro
chr5 65432281 65448421 chr5 66012852 66015592 . 1	pro-pro
chr6 2931619 2933798 chr6 3155842 3169233 . 7	pro-inactivate
chr2 70329316 70375156 chr2 71605192 71607008 . 3	pro-pro
chr16 89375385 89406896 chr16 89415838 89417915 . 16	pro-weak_enh
chr20 62660962 62700406 chr20 62884757 62890014 . 65	pro-pro
chr15 85075878 85080362 chr15 85519913 85528496 . 5	pro-inactivate
chr21 33257025 33258386 chr21 33741427 33772065 . 1	pro-weak_enh
chr6 24663859 24671293 chr6 26111394 26144955 . 7	pro-pro
chr19 569240 577864 chr19 1477238 1483329 . 3	pro-pro
chr20 2819932 2823572 chr20 2847428 2857466 . 68	pro-pro
chr2 242623974 242629879 chr2 242907221 242909396 . 8	pro-pro
chr7 4774988 4781199 chr7 5564353 5574662 . 2	pro-weak_enh
chr22 18977677 18989749 chr22 19626659 19635061 . 12	pro-inactivate
chr22 19613758 19624558 chr22 19868852 19870910 . 3	pro-strong_enh
chr7 100268832 100276092 chr7 101329867 101333895 . 1	pro-pro
chr1 206843227 206850328 chr1 207079602 207082047 . 11	pro-weak_enh
chr7 4651889 4653948 chr7 5083861 5087457 . 1	pro-inactivate
chr12 48041288 48047647 chr12 48161513 48181415 . 22	pro-inactivate
chr8 125481074 125491023 chr8 126192151 126195492 . 1	pro-pro
chr6 166753432 166758423 chr6 166820145 166821866 . 2	pro-pro
chr18 1313647 1320245 chr18 2299062 2306775 . 1	pro-inactivate
chr16 74697039 74703778 chr16 75735344 75738120 . 1	pro-pro
chr12 116523208 116534348 chr12 117535954 117538952 . 2	pro-inactivate
chr3 137891387 137895862 chr3 138542039 138547881 . 5	pro-pro
chr14 91523894 91529648 chr14 91575189 91577002 . 13	pro-pro
chr1 161408676 161412065 chr1 161579738 161585012 . 5	pro-weak_enh
chr22 22050173 22054663 chr22 22071442 22073317 . 1	pro-weak_enh
chr5 158666441 158668744 chr5 159613380 159635272 . 2	pro-strong_enh
chr4 174147280 174153548 chr4 175198022 175209827 . 3	pro-strong_enh
chr1 28652345 28660148 chr1 29207075 29220962 . 44	pro-pro
chr12 120092118 120129170 chr12 120752978 120757671 . 3	pro-strong_enh
chr17 73320932 73324005 chr17 73442846 73446633 . 12	pro-inactivate
chr12 92732992 92739073 chr12 93978601 93994934 . 3	pro-strong_enh
chr19 47130812 47134334 chr19 48992950 48999242 . 1	pro-inactivate
chr22 45088290 45090826 chr22 45106045 45107453 . 1	pro-inactivate
chr16 57716610 57717882 chr16 58194336 58196305 . 1	pro-strong_enh
chr11 66934106 66937084 chr11 67978177 67984140 . 1	pro-strong_enh
chr19 38734103 38736352 chr19 40020965 40035596 . 1	pro-strong_enh
chr21 44596296 44599471 chr21 45145154 45152730 . 5	pro-strong_enh
chr15 85140418 85145401 chr15 85309307 85310796 . 4	pro-pro
chr11 108067322 108072507 chr11 108603423 108607345 . 1	pro-strong_enh
chr1 154940730 154952414 chr1 155505210 155507704 . 1	pro-pro
chr3 13438929 13477933 chr3 14875305 14880554 . 1	pro-weak_enh
chr7 44640348 44667017 chr7 44798754 44803515 . 27	pro-strong_enh
chr11 118431751 118454383 chr11 119074253 119081857 . 6	pro-pro
chr19 41664481 41666423 chr19 41729731 41734201 . 12	pro-inactivate
chr5 179914629 179931357 chr5 179940923 179947071 . 175	pro-pro
chr18 57548128 57551081 chr18 57716928 57723566 . 1	pro-strong_enh
chrX 15806599 15810321 chrX 15832993 15834783 . 6	pro-pro
chr22 37667888 37671847 chr22 38905909 38913349 . 1	pro-inactivate
chr4 83277989 83298556 chr4 83732979 83734987 . 2	pro-weak_enh
chr12 110515641 110520476 chr12 112031347 112040110 . 3	pro-weak_enh
chr6 43575067 43577328 chr6 44203897 44207562 . 1	pro-inactivate
chr4 151949085 151955897 chr4 151958307 151960990 . 7	pro-strong_enh
chr17 42291255 42300170 chr17 44221120 44242383 . 1	pro-pro
chr9 131216372 131220192 chr9 131441988 131472267 . 22	pro-pro
chr19 12885157 12919964 chr19 13123144 13124670 . 4	pro-pro
chr14 102219368 102244932 chr14 102653064 102658197 . 6	pro-inactivate
chr1 160595267 160598491 chr1 160975400 160993750 . 34	pro-inactivate
chr4 185453984 185461243 chr4 186036105 186042841 . 4	pro-pro
chr2 10166722 10178552 chr2 10698328 10701623 . 3	pro-strong_enh
chr3 52250723 52254091 chr3 52564051 52574778 . 8	pro-strong_enh
chr11 77299741 77302002 chr11 77744842 77746665 . 1	pro-pro
chrX 54833243 54837289 chrX 55052989 55060421 . 17	pro-pro
chr3 128800303 128801867 chr3 129146023 129151970 . 1	pro-inactivate
chr17 38208323 38212488 chr17 39990223 39994264 . 2	pro-pro
chr3 52013246 52031615 chr3 52151279 52173085 . 319	pro-strong_enh
chr17 73006567 73011354 chr17 73184214 73186344 . 2	pro-inactivate
chr16 2768834 2772961 chr16 4741295 4746058 . 1	pro-pro
chr21 35333909 35371656 chr21 36246857 36249078 . 1	pro-strong_enh
chr2 68382238 68387863 chr2 68663555 68670395 . 18	pro-pro
chr2 38646272 38649183 chr2 38890857 38895846 . 3	pro-weak_enh
chr19 4380451 4383816 chr19 4789927 4794386 . 3	pro-strong_enh
chr19 12790529 12794611 chr19 14525398 14532529 . 3	pro-pro
chr8 144328151 144331611 chr8 144907965 144914946 . 4	pro-pro
chr11 47691769 47696069 chr11 47867088 47872657 . 17	pro-inactivate
chr6 42163018 42171449 chr6 43680998 43687440 . 1	pro-weak_enh
chr22 18557626 18564141 chr22 19591812 19604350 . 1	pro-pro
chr20 48327192 48332470 chr20 49572337 49577580 . 2	pro-inactivate
chr22 23348813 23359164 chr22 24105455 24112176 . 2	pro-weak_enh
chr8 126314295 126333254 chr8 126525302 126527822 . 1	pro-weak_enh
chr2 171144940 171174024 chr2 172286643 172293521 . 24	pro-strong_enh
chr16 68991850 68994083 chr16 70332086 70334535 . 1	pro-inactivate
chr11 64877473 64894093 chr11 65458761 65461672 . 2	pro-pro
chr19 17528190 17532926 chr19 18411176 18418200 . 1	pro-inactivate
chr15 66676572 66688558 chr15 66901734 66904278 . 3	pro-strong_enh
chr14 34545649 34548669 chr14 35181778 35185086 . 1	pro-weak_enh
chr5 131788368 131808931 chr5 132368056 132370101 . 9	pro-strong_enh
chr14 23385375 23394346 chr14 23814246 23816418 . 1	pro-pro
chr12 94104358 94109693 chr12 94290855 94293844 . 1	pro-strong_enh
chr19 4057122 4069696 chr19 4789927 4794386 . 2	pro-weak_enh
chr12 49461337 49466838 chr12 49713535 49721804 . 43	pro-pro
chr8 95759518 95762760 chr8 97244034 97249893 . 1	pro-weak_enh
chr2 170894135 170921590 chr2 171678746 171681324 . 2	pro-strong_enh
chr13 95917360 95929451 chr13 96588955 96592147 . 3	pro-weak_enh
chr6 27340902 27345774 chr6 27651585 27658022 . 9	pro-inactivate
chr3 48288221 48289775 chr3 48645094 48648508 . 3	pro-strong_enh
chr6 17711308 17717495 chr6 17984740 17990146 . 1	pro-strong_enh
chr17 78516501 78521944 chr17 78964296 78967935 . 4	pro-pro
chr7 2993303 2999147 chr7 4719825 4725349 . 3	pro-weak_enh
chr19 48392783 48397525 chr19 49462847 49475798 . 2	pro-inactivate
chr11 57446871 57450699 chr11 57527850 57533355 . 12	pro-strong_enh
chr6 14763001 14764568 chr6 15104700 15110358 . 3	pro-inactivate
chr17 25923468 25933215 chr17 26642410 26649159 . 3	pro-strong_enh
chr16 28135010 28136697 chr16 29669411 29680186 . 1	pro-strong_enh
chr11 94832387 94846633 chr11 96008670 96014811 . 3	pro-weak_enh
chr16 8228902 8234613 chr16 9158296 9176847 . 3	pro-weak_enh
chr9 100070398 100089226 chr9 100320963 100336890 . 4	pro-inactivate
chr1 8610668 8613517 chr1 8847061 8854974 . 10	pro-inactivate
chr2 190433609 190436546 chr2 190442690 190451319 . 95	pro-inactivate
chr14 51409315 51412321 chr14 51714383 51716082 . 1	pro-pro
chrX 129472355 129475550 chrX 130879037 130881721 . 1	pro-pro
chr1 154953073 154969311 chr1 156457657 156477320 . 4	pro-strong_enh
chr10 120965019 120968257 chr10 121375076 121378480 . 1	pro-inactivate
chr17 40970649 40973140 chr17 41304513 41307438 . 2	pro-inactivate
chr2 85529201 85566985 chr2 85671527 85677542 . 41	pro-strong_enh
chr15 45108514 45115957 chr15 45378633 45380762 . 3	pro-strong_enh
chr20 57224319 57230200 chr20 58507679 58509913 . 4	pro-pro
chr8 86867367 86869934 chr8 86977764 86979972 . 1	pro-strong_enh
chr15 67093015 67099083 chr15 67315494 67323622 . 4	pro-strong_enh
chr4 8302650 8309983 chr4 8336770 8340055 . 10	pro-strong_enh
chr19 49065419 49067759 chr19 49156686 49158923 . 1	pro-strong_enh
chr7 73492010 73494770 chr7 73622995 73625053 . 1	pro-inactivate
chr10 69642161 69647979 chr10 70980928 70984102 . 3	pro-pro
chr10 75550557 75554975 chr10 75814833 75818704 . 1	pro-inactivate
chr1 10269052 10273643 chr1 11966155 11972727 . 1	inactivate-inactivate
chr19 39825275 39827599 chr19 40020965 40035596 . 13	pro-inactivate
chr19 1366258 1367719 chr19 1810103 1815037 . 17	pro-inactivate
chr5 53595877 53625489 chr5 53755314 53757390 . 22	pro-weak_enh
chr15 75814122 75816573 chr15 76048163 76053603 . 4	pro-inactivate
chr2 112390544 112393094 chr2 112399720 112402142 . 7	pro-strong_enh
chr19 14244837 14250131 chr19 14535315 14537654 . 22	pro-inactivate
chr17 17138201 17144157 chr17 17179611 17188645 . 130	pro-pro
chr22 38081105 38084207 chr22 38897564 38905099 . 1	pro-pro
chr14 23766660 23781088 chr14 24699070 24704371 . 12	pro-pro
chr19 6108160 6114762 chr19 6527738 6533987 . 25	pro-pro
chr19 49616395 49618914 chr19 51338264 51341227 . 1	pro-inactivate
chr2 200714796 200716791 chr2 200764874 200789114 . 95	pro-inactivate
chr15 22976081 22978145 chr15 23084612 23088309 . 4	pro-inactivate
chr9 33288024 33299458 chr9 34144395 34164782 . 18	pro-strong_enh
chr1 155824635 155832512 chr1 155937904 155955611 . 124	pro-pro
chr1 27752475 27758949 chr1 28604524 28606586 . 1	pro-strong_enh
chr6 14741434 14746100 chr6 15283446 15315152 . 3	pro-inactivate
chr9 80472324 80473995 chr9 80613958 80653397 . 14	pro-strong_enh
chr7 140184772 140189959 chr7 140712788 140716532 . 10	pro-weak_enh
chrX 122897356 122900680 chrX 122932921 122934933 . 2	pro-strong_enh
chr9 140559265 140585867 chr9 141053342 141055179 . 1	pro-weak_enh
chr1 11764898 11769491 chr1 11794317 11803540 . 48	inactivate-inactivate
chr14 31340998 31347005 chr14 31752531 31754191 . 1	pro-pro
chr15 64118199 64120601 chr15 64262904 64265206 . 1	pro-strong_enh
chr17 78827570 78834598 chr17 79446060 79456781 . 2	pro-strong_enh
chr2 131961872 131963162 chr2 132439209 132441679 . 1	pro-weak_enh
chr19 45669769 45693897 chr19 47351055 47355877 . 1	pro-pro
chr3 135995320 135997686 chr3 136466219 136474906 . 14	pro-inactivate
chr11 46372108 46376426 chr11 46561444 46565574 . 9	pro-inactivate
chr19 29063314 29067197 chr19 30431987 30438684 . 2	pro-strong_enh
chr19 35772607 35775123 chr19 36205888 36212228 . 1	pro-inactivate
chr22 41745168 41747889 chr22 42339598 42345838 . 1	pro-inactivate
chr6 84682164 84690126 chr6 84694390 84696414 . 62	pro-weak_enh
chr3 195580215 195585096 chr3 196293522 196300128 . 3	pro-pro
chr8 145708403 145710351 chr8 146009242 146032107 . 5	pro-weak_enh
chr6 42529807 42539502 chr6 42936246 42941512 . 3	pro-strong_enh
chr2 190468781 190481395 chr2 191242104 191247013 . 20	pro-strong_enh
chr22 38572169 38579972 chr22 40435347 40442870 . 2	pro-pro
chr6 116881784 116885361 chr6 117914890 117917706 . 1	pro-inactivate
chr1 197643671 197648182 chr1 198123688 198133424 . 4	pro-strong_enh
chr1 27653942 27655427 chr1 28993073 28998166 . 1	pro-inactivate
chr7 73037631 73039464 chr7 73200336 73202747 . 5	pro-pro
chr3 48097028 48100506 chr3 48952099 48959247 . 3	pro-inactivate
chr17 80168323 80178324 chr17 80315491 80319968 . 28	pro-weak_enh
chr12 8979106 8983958 chr12 9064570 9068211 . 1	pro-inactivate
chr1 16209105 16214881 chr1 16967965 16974232 . 2	pro-weak_enh
chr2 170760745 170789093 chr2 171827558 171831609 . 3	pro-strong_enh
chr6 30557330 30560078 chr6 31136498 31142746 . 1	pro-strong_enh
chr22 19031987 19035205 chr22 19892102 19898673 . 1	pro-weak_enh
chr1 39380477 39382493 chr1 39648321 39652165 . 2	pro-weak_enh
chr16 23902203 23904173 chr16 24547063 24556102 . 1	pro-inactivate
chr10 124891447 124901700 chr10 126841179 126852051 . 8	pro-pro
chr2 242568540 242570423 chr2 242785669 242788601 . 2	pro-inactivate
chr11 66371109 66373039 chr11 66493271 66498719 . 1	pro-inactivate
chr15 89560352 89563249 chr15 89657776 89661727 . 1	pro-inactivate
chr16 29615366 29617551 chr16 29622059 29627074 . 21	pro-strong_enh
chr1 1331509 1345205 chr1 1547351 1553126 . 54	pro-weak_enh
chr4 1239042 1245613 chr4 2961473 2967916 . 1	pro-pro
chr22 30175732 30179161 chr22 31606219 31610844 . 2	pro-strong_enh
chr5 70827573 70830389 chr5 71520493 71535433 . 2	pro-inactivate
chr11 64689731 64693931 chr11 65653025 65669415 . 1	pro-pro
chr14 73788952 73792676 chr14 74110351 74113240 . 2	pro-inactivate
chr1 100909128 100910981 chr1 101357025 101364136 . 1	inactivate-inactivate
chr6 16156936 16159410 chr6 16235024 16243207 . 6	pro-strong_enh
chr22 49904358 49906566 chr22 50264912 50267132 . 2	pro-strong_enh
chr8 141535867 141538207 chr8 141573722 141587948 . 1	pro-weak_enh
chr11 45862856 45865922 chr11 46256115 46279869 . 15	pro-inactivate
chr11 117880923 117884581 chr11 117972253 117975423 . 5	pro-strong_enh
chr6 150026708 150057019 chr6 150324829 150327914 . 60	pro-strong_enh
chr17 42286824 42288721 chr17 42291255 42300170 . 41	pro-inactivate
chr21 37768535 37770263 chr21 37800871 37803967 . 11	pro-strong_enh
chr19 49248500 49253408 chr19 50177707 50183709 . 3	pro-pro
chr1 65529438 65536570 chr1 65902100 65904817 . 9	pro-pro
chr9 88550322 88559695 chr9 88892341 88904724 . 64	pro-pro
chr7 50322100 50324094 chr7 50338630 50362463 . 19	pro-inactivate
chr1 21585188 21591449 chr1 21713851 21720614 . 2	pro-strong_enh
chr11 66681259 66683794 chr11 67228709 67238479 . 3	pro-inactivate
chr15 75915848 75921954 chr15 76625916 76632991 . 7	pro-pro
chr9 100826062 100829828 chr9 101804062 101850426 . 8	pro-weak_enh
chr16 153376 182415 chr16 708778 713181 . 11	pro-weak_enh
chr16 29684660 29686775 chr16 29952482 29957533 . 1	pro-inactivate
chr6 34378150 34399583 chr6 34827298 34828891 . 6	pro-strong_enh
chr8 39801787 39804625 chr8 41664389 41666343 . 1	pro-weak_enh
chr14 34334641 34337118 chr14 35338542 35347081 . 1	pro-strong_enh
chr21 35316365 35324882 chr21 36569731 36587586 . 3	pro-strong_enh
chr5 71835720 71838070 chr5 72247778 72256402 . 2	pro-strong_enh
chr4 922819 928824 chr4 2564342 2580544 . 2	pro-pro
chr6 42227477 42229587 chr6 42529807 42539502 . 14	pro-inactivate
chr16 3027415 3035158 chr16 4473077 4479255 . 1	pro-pro
chr11 94796996 94804518 chr11 95273583 95279934 . 5	pro-pro
chr1 144919334 144930876 chr1 145573340 145577431 . 2	pro-inactivate
chr3 170415423 170423515 chr3 170490680 170500909 . 46	pro-weak_enh
chr1 33453370 33456081 chr1 33462194 33464369 . 18	pro-weak_enh
chr17 4612335 4613949 chr17 4868093 4875221 . 22	pro-pro
chr17 40304009 40309383 chr17 40565359 40569915 . 16	pro-pro
chr11 118656151 118665099 chr11 119119779 119123341 . 6	pro-pro
chr12 124154503 124156666 chr12 124194530 124207286 . 68	pro-pro
chr20 56022147 56029474 chr20 56947046 56950742 . 4	pro-weak_enh
chr1 211728674 211731560 chr1 212310027 212343440 . 1	pro-weak_enh
chr8 133687084 133688999 chr8 134540193 134564521 . 1	pro-pro
chr14 93192375 93194180 chr14 93670576 93676492 . 1	pro-weak_enh
chr3 128800303 128801867 chr3 128956712 128959868 . 2	pro-inactivate
chr13 27665824 27679489 chr13 28709383 28719419 . 3	pro-inactivate
chr14 100686692 100692100 chr14 101109593 101112757 . 7	pro-weak_enh
chr1 27325358 27365109 chr1 28557004 28567094 . 7	pro-strong_enh
chr19 37061173 37066986 chr19 37567159 37571670 . 4	pro-pro
chr1 227124173 227134231 chr1 228294260 228299689 . 3	pro-pro
chr19 51303962 51311386 chr19 51566210 51570049 . 3	pro-pro
chr19 49239610 49246759 chr19 49910710 49914299 . 6	pro-pro
chr22 20062112 20084447 chr22 20896172 20915206 . 39	pro-pro
chr10 104686713 104688792 chr10 105152431 105159508 . 2	pro-inactivate
chr4 48170018 48172467 chr4 48235542 48238520 . 3	pro-inactivate
chr20 34249992 34254287 chr20 35484168 35494491 . 2	pro-pro
chr19 39614620 39618274 chr19 39825275 39827599 . 21	pro-inactivate
chr7 129246437 129258311 chr7 129401760 129415506 . 71	pro-pro
chr20 49080091 49081840 chr20 49156216 49159300 . 2	pro-weak_enh
chr17 44840770 44844616 chr17 46596453 46601281 . 1	pro-inactivate
chr19 47537910 47540264 chr19 49392911 49396873 . 1	pro-pro
chr1 155505210 155507704 chr1 155900888 155906523 . 2	pro-strong_enh
chr5 10426566 10429573 chr5 10465419 10487112 . 4	pro-inactivate
chr19 54957165 54964038 chr19 55544148 55556864 . 23	pro-pro
chr12 104321011 104330195 chr12 104915749 104918941 . 2	pro-pro
chr7 134046762 134049398 chr7 134842424 134847783 . 1	pro-inactivate
chr17 74522549 74528538 chr17 75216450 75218108 . 2	pro-pro
chr19 18227495 18229915 chr19 18270314 18272912 . 10	pro-weak_enh
chr12 124455491 124461035 chr12 124724712 124726561 . 3	pro-pro
chr22 20957696 20960036 chr22 22838648 22849439 . 1	pro-inactivate
chr1 32685096 32691905 chr1 32764057 32766238 . 42	pro-pro
chr11 125418660 125427496 chr11 125456673 125458681 . 72	pro-strong_enh
chr8 21964472 21969760 chr8 22050361 22053431 . 2	pro-pro
chr9 114959802 114962502 chr9 115478003 115481615 . 2	pro-inactivate
